Gene	PRAS	log2PRAS	rank
MRPS25	2.29842426576403	1.72177697995996	282
RNU6-33P	2.2789114112997	1.71321692393131	283
ERLEC1	2.25710790491698	1.70359151565335	284
HNRNPR	2.24067824426126	1.69629578756347	285
TARBP1	2.23695357673394	1.69463667506331	286
RPL11	2.23410185808993	1.69336511723059	287
PRPF40A	2.21329056420394	1.68405144348672	288
TPM3	2.19413927319773	1.6754272195654	289
PUM1	2.19293755090613	1.67488433622179	290
AC096536.2	2.16562552405797	1.66249060274679	291
EIF5B	2.12201050665004	1.64247539249404	292
TCEA3	2.11906301927598	1.64111270201583	293
ITPRID2	2.1102981959937	1.63705290358994	294
SNORD46	2.10192702166442	1.63316474481329	295
PPP4R2	2.10108255541128	1.63277193314083	296
ST6GAL1	2.09692758749895	1.63083765024619	297
TMA7	2.06667100129278	1.61667339964605	298
WDR43	2.06567054882027	1.6162026666245	299
TTC31	2.03298650281037	1.60073907779331	300
BDP1	2.00208730745785	1.58596593438861	301
EGLN1	1.99294274229379	1.58156467903683	302
OBSL1	1.99190844412346	1.58106602775562	303
SPRED2	1.96996636352329	1.5704465918163	304
TGOLN2	1.93767022157834	1.55467245021784	305
GTF2H2	1.92902842272594	1.55042219291916	306
AC022201.2	1.92713681454901	1.54949017897471	307
UBP1	1.92019468369176	1.54606455397993	308
HOOK1	1.91915844506934	1.54555251906631	309
LRPPRC	1.90874699695465	1.54039781616578	310
DARS1	1.90299046664356	1.53753983419377	311
MIR1248	1.90001616510284	1.53606094205011	312
TFG	1.89272889221353	1.53243111960807	313
CTBP1	1.88565683298895	1.52889974238557	314
SNORD70	1.88168674669597	1.52691351609877	315
COX5B	1.87921352731845	1.52567478555998	316
GOLGB1	1.86574664099787	1.51891106740426	317
DHCR24	1.85814599901525	1.51507961366097	318
AC139887.2	1.85445860895297	1.5132171427005	319
ITGA1	1.8448854618801	1.50837056926157	320
ARHGEF28	1.83919444581274	1.50548165723541	321
ELL2	1.83711547133301	1.50442486986829	322
PTPRF	1.81202195686979	1.49160785932634	323
AGRN	1.79715320737034	1.4839592761452	324
TRA2B	1.7921479938297	1.4813754115711	325
ERCC3	1.79091175561544	1.48073650930235	326
NRBP1	1.78618901030738	1.47829313122836	327
NOL10	1.78205932932038	1.47615318666793	328
DLG1	1.76974092502701	1.46975103632544	329
HEXB	1.7413077743154	1.45486431267725	330
IQSEC1	1.73451976212995	1.45128748836401	331
UBE2D3	1.71534911229539	1.44113769718174	332
UBE2E1	1.70916787770477	1.43784979510064	333
DHX15	1.69884627207056	1.4323428023558	334
SRGAP2B	1.68785912782587	1.42645752765805	335
AL627309.5	1.68459630070617	1.42470515757468	336
RPN1	1.68389811601164	1.42432990614516	337
GASK1B	1.67160191508365	1.4177050535003	338
RAPGEF2	1.66416615519225	1.41368406131185	339
PODXL2	1.65064906003776	1.40634567327641	340
SLC20A1	1.6374764484208	1.39915821120438	341
BTF3	1.63178173867012	1.39603984712976	342
PDK1	1.62598948578003	1.39286113982433	343
SETD5	1.62573302440373	1.39272023536666	344
NDUFS5	1.62046978195257	1.38982547257875	345
U2SURP	1.59495499787721	1.37570951935297	346
PUM2	1.58841765585465	1.3720704231323	347
SCN9A	1.58675786199164	1.37114501434223	348
GOLGA4	1.58659828987541	1.37105601451541	349
PKP4	1.57775949973831	1.36611766916111	350
PDCL3	1.54761281429676	1.34914603374057	351
ALCAM	1.53424285447342	1.34155478341966	352
ACAA1	1.53091305693966	1.3396579481928	353
RFC1	1.52756912350537	1.33775054723206	354
BIRC6	1.50476218473109	1.32467363288308	355
GALNT2	1.48780163519764	1.31487145680066	356
CLCN6	1.46693293770253	1.30271849725172	357
GTF3C2	1.45341716137706	1.29479256022289	358
CNNM3	1.45328553791487	1.29471515895045	359
FBXO11	1.44163594291911	1.28784810511662	360
POTEF	1.43276865591732	1.28259913374543	361
ANKZF1	1.43180204392022	1.28202579379866	362
SRRM1	1.42927389999643	1.28052516263287	363
SNRNP200	1.42577854021202	1.27844784661603	364
UGP2	1.42550473491763	1.2782849958739	365
NFE2L2	1.41998814367332	1.27499997927441	366
SRSF4	1.41152717531859	1.26994706781346	367
TBCK	1.40752824341984	1.26755272284661	368
RERE	1.40032149437181	1.26322765053089	369
WDR12	1.3933109329703	1.25900784038404	370
PCBP1	1.38043071270924	1.25122263692385	371
BZW1	1.36891227995205	1.2442247770411	372
CHST13	1.36365498009833	1.24101946240716	373
UGGT1	1.35031076921527	1.23285152937038	374
DNAJB11	1.33269721132542	1.22199905482797	375
LSM3	1.33263864619225	1.22196283380133	376
HSD17B11	1.32619300582387	1.21797080317102	377
AC018865.3	1.32582972799281	1.21774548220576	378
ANXA4	1.32282929707575	1.21588313550219	379
NSD2	1.32186385974297	1.21528338364547	380
FAM168B	1.3211271056412	1.21482552727408	381
SDF4	1.32000738375877	1.21412939694561	382
ZRANB2	1.31802703840129	1.21289739461874	383
RNU1-1	1.31600065754783	1.21163566293029	384
MDH1	1.31375734830744	1.21023757198666	385
RNU1-2	1.30781569811439	1.20652801513021	386
ADI1	1.28994827112844	1.19531500887708	387
EIF4A2	1.28162262113699	1.1900601905587	388
WDR70	1.27350430841428	1.18491773807059	389
SH3GLB1	1.26857121117384	1.18178394705691	390
MAP3K2	1.26042378650964	1.17659327590587	391
GNL3	1.2542893702781	1.17267271793681	392
LSG1	1.25423711015888	1.17263927223558	393
F11	1.24369596667589	1.16587719596193	394
WWTR1	1.23691035849133	1.16150744327622	395
MYSM1	1.22651788656638	1.15478920161103	396
MIR4426	1.21701984720413	1.14862168555696	397
PLXNB1	1.20938868715822	1.14364724744243	398
TMSB10	1.20756254403617	1.14245431247967	399
WDR1	1.20552585807054	1.14112267500345	400
SEC13	1.20186147312821	1.13872370672357	401
IDH1	1.20174374445328	1.13864656694053	402
AC007098.1	1.20151007144564	1.13849344431634	403
EXOSC10	1.1945995321445	1.13395770253977	404
AHCTF1	1.19174212630663	1.13207806518535	405
CCNB1	1.17019895833491	1.11782731135424	406
GPATCH4	1.16212046701294	1.11244690804959	407
SCN1A	1.14960360917597	1.10407064874503	408
NBPF20	1.137632617273	1.09601392659367	409
STMN1	1.13328619831236	1.09307752835449	410
TRIM71	1.11375961340297	1.07981131604377	411
PKN2	1.11064448601766	1.07768359362927	412
SEPTIN2	1.09755783834843	1.06871059228512	413
CCT4	1.08944264685313	1.06311815864301	414
SCAP	1.07969399577561	1.05637126718645	415
ATG4B	1.06787575197956	1.04814950413061	416
EML4-AS1	1.06497582748865	1.04612489362227	417
NCKAP1	1.06294304270505	1.04470398935754	418
ATAD3C	1.05510127147777	1.03920948892342	419
RTN4	1.0430234187871	1.03070574150353	420
DDI2	1.04058030198703	1.02897948540557	421
WFS1	1.02873780924274	1.02058242559376	422
MTMR12	1.02344438256888	1.01681319489575	423
PSMD6	1.02344210529641	1.01681157122297	424
RBMXL1	1.01333540476762	1.0095875331569	425
RNF149	1.00844351189364	1.00607788570156	426
DHX36	1.00189302609263	1.00136488383972	427
FAM193A	0.991095844880712	0.993562669378854	428
RPRD2	0.985188127807127	0.989275731899092	429
SRSF10	0.98429990264737	0.988630087904335	430
FAT1	0.980850128526951	0.986119729793119	431
GCKR	0.973183706761576	0.980525279678307	432
LAPTM4A	0.964535381608015	0.974188151207522	433
SEC61A1	0.94408793191551	0.959093474123456	434
IP6K2	0.92276251349227	0.943180581832678	435
NDUFA10	0.922093395956191	0.942678439446303	436
ENC1	0.920383029676397	0.941394092145449	437
LRP8	0.919872174142361	0.941010258930834	438
IL6ST	0.89939876640524	0.925542821717541	439
AC125232.2	0.896431043601928	0.923286914546902	440
CCDC14	0.88169860574014	0.912035568116899	441
AC008914.1	0.866659802882303	0.900459021610227	442
EML6	0.866573793987926	0.900392545938565	443
COBLL1	0.856042124562835	0.89222945411217	444
TPR	0.851375508749258	0.888597542246013	445
ASXL2	0.81535174218047	0.860249111600589	446
PLOD1	0.802012300581491	0.849608859057861	447
BRD9	0.794791450194737	0.843816216611276	448
FILIP1L	0.794357664747747	0.843467487652859	449
HGD	0.792827093825943	0.842236356634398	450
IGF2BP2	0.785503137822874	0.836330669302036	451
SEC22B	0.78446999680913	0.835495644834082	452
AAMP	0.780103491735686	0.831961119098164	453
UBAP2L	0.7793756232772	0.831371093312827	454
LPCAT1	0.770453317224412	0.824118803685482	455
TRIP12	0.76933928756574	0.823210724994737	456
FZD5	0.73772600139813	0.797200620940015	457
ADGRA3	0.737043206689827	0.796633639656769	458
AC073263.1	0.735523724441536	0.795371086803096	459
CCNL1	0.728265725549635	0.78932505283691	460
CFLAR	0.722402740521521	0.784422520097152	461
NT5DC2	0.718453654824624	0.781110944025438	462
CDC73	0.713170758629385	0.776668957814156	463
TOMM20	0.707359691812798	0.771767024932346	464
SNORA55	0.702608911008846	0.767747086253102	465
PELO	0.685174834691479	0.752898276901193	466
YY1AP1	0.682870868311517	0.750924478632212	467
SRSF7	0.670282906511952	0.740092481893682	468
DNAJC8	0.666787157315442	0.737069889153157	469
DIS3L2	0.662917701062645	0.733716770425053	470
TMCO1	0.660568746301537	0.731677450570396	471
CTNNB1	0.656975361039836	0.728552150072989	472
STK39	0.655163914709292	0.726974097532982	473
DDOST	0.645349758270452	0.718394295745744	474
NAA15	0.631070117195225	0.705818802623368	475
BSDC1	0.618097687626513	0.694298708633175	476
NRDC	0.606426052353707	0.683854571622887	477
LPIN1	0.6011534826761	0.679111607718333	478
H3C15	0.600703339242229	0.678705955785637	479
DVL3	0.596975952103054	0.675342588238887	480
PRPF3	0.594677103109231	0.673264330634258	481
GPBP1L1	0.593882377168564	0.672545167511035	482
DROSHA	0.573720855212208	0.654179659958486	483
MACF1	0.56696881878884	0.647976471816692	484
MSH2	0.558643211629358	0.640290719105247	485
ROCK2	0.54913048980108	0.631458673539903	486
SP5	0.532676554760669	0.616053272941395	487
CDC42BPA	0.5278412242488	0.61149462394247	488
RNF168	0.525538667938612	0.609318748475248	489
MRFAP1	0.515593900931274	0.599883239262564	490
MRPS15	0.515214230504754	0.599521785405624	491
BOD1L1	0.510744494666516	0.595259684694021	492
USP24	0.506896141664826	0.591579986896925	493
TFRC	0.503255207668155	0.588089956414578	494
POLR1A	0.485835752975987	0.571274646520218	495
RUVBL1	0.470402986862797	0.556211602321582	496
PCSK9	0.452189437145181	0.538229664217434	497
NBPF11	0.451562854757006	0.537607044085076	498
H3C14	0.449966333137648	0.536019402599355	499
HGFAC	0.447436138022188	0.533499696821657	500
OSMR	0.445585265240276	0.531653706090246	501
PUS10	0.44474184248164	0.530811723975112	502
CAMK2N1	0.439374254707329	0.525441759006175	503
EIF4E2	0.43604635638154	0.522102320917453	504
AC093690.1	0.433949888519825	0.519994607828407	505
PDZK1	0.413388224819699	0.499157794824892	506
CTBP1-AS	0.409744510032898	0.495433724675891	507
NUP210	0.403749284579314	0.489285287356677	508
CWC22	0.382576664479086	0.467359480747308	509
ZFR	0.379001700815666	0.463624236225943	510
TRAK1	0.372533351169679	0.45684120568404	511
RGPD1	0.364552313562634	0.44842770503393	512
ACAD11	0.361677203901224	0.445384741877872	513
CCDC88A	0.358474272734103	0.441987243550034	514
RGPD2	0.34229401563791	0.424700713597559	515
DNAJC10	0.329714104620429	0.411116092204932	516
XPC	0.320446181085698	0.401025501154331	517
CHDH	0.29525959468341	0.373241270444512	518
GAS5	0.293368538467134	0.371133421985597	519
UBE2Q1	0.285022705683489	0.361793851316091	520
BCL6	0.284886358667464	0.361640766394315	521
RAB3GAP1	0.280014907731568	0.356160612713683	522
SREK1	0.264996232640586	0.339133088351335	523
AC010872.1	0.257343824321138	0.330379212857815	524
SEMA3F-AS1	0.244410766903498	0.315462782539644	525
GOLIM4	0.24404473930853	0.315038369727296	526
ESPN	0.23724685960634	0.307133380345058	527
TXLNA	0.23309116172943	0.302279461308717	528
SLC38A3	0.231088423422282	0.299934387696783	529
INSIG2	0.230153979192113	0.298838909965541	530
FAM162A	0.217115534542713	0.283466122201585	531
THRAP3	0.203041004520208	0.266685816254464	532
SESTD1	0.201917978042272	0.26533844620781	533
ATP1A1-AS1	0.19543642988094	0.257537413417186	534
DDX1	0.195410251177659	0.257505819684554	535
NKTR	0.188081773060158	0.248634137088463	536
LAMC1	0.187237590601809	0.247608676751487	537
RGPD6	0.183333734944729	0.242857013532224	538.5
RGPD8	0.183333734944729	0.242857013532224	538.5
TMED5	0.17111536061813	0.227883195390217	540
HEATR1	0.169934725866629	0.22642803981253	541
RGPD5	0.168731413280532	0.224943421529707	542
NID1	0.166601280031652	0.222311562235602	543
TBC1D8	0.164280628866982	0.219438835805024	544
TMEM214	0.161923709386354	0.216515346106265	545
ECHDC2	0.161471162630109	0.215953334906942	546
LAMB2	0.161274854543586	0.215709474664373	547
MCFD2	0.158876201907692	0.212726457256188	548
OPA1	0.157848798206522	0.211446866176742	549
TGFBR3	0.155492585074375	0.208508001899225	550
AFF1	0.144582500270772	0.194821454542264	551
RPS23	0.14314120504509	0.19300362160656	552
TRNP1	0.139648045221625	0.18858834911722	553
ODC1	0.135149585598708	0.182882422786459	554
RBM15	0.134763599895179	0.182391778766009	555
ZBTB38	0.134457781019614	0.182002919942829	556
MUC20-OT1	0.122692952929866	0.166963416736835	557
AC133644.3	0.121553021858207	0.165497826009308	558
AC016722.2	0.118324355522386	0.16133868392011	559
MPHOSPH10	0.114574381726272	0.156492898846965	560
PSMD1	0.113287807118138	0.154826606360363	561
TUT4	0.102979899551586	0.141406499830947	562
WWC2	0.101000482554411	0.138815101217181	563
RBM5	0.100150614723735	0.137701047604805	564
MYO1B	0.0965249766597561	0.132938674111622	565
CEBPZ	0.0929938925229749	0.128285339480601	566
RANBP2	0.0875320785231109	0.121057956219903	567
ADD1	0.0831059616871671	0.115174390612537	568
ANAPC1	0.0649021571986134	0.0907208822737531	569
KDM3A	0.0512251768287141	0.0720717337132971	570
ELOVL6	0.0447587195712845	0.0631697994641081	571
UBR3	0.0445515308374562	0.0628836666030423	572
RIF1	0.0431082840511439	0.0608889303933876	573
TMEM131	0.037591266415521	0.0532382413406035	574
PATJ	0.0334610543722228	0.0474840223165942	575
AC012443.2	0.0316834700055101	0.0450004065176081	576
MAN2A1	0.0310225022310775	0.0440758200997337	577
TMCC1	0.0305925318252243	0.0434740431714514	578
